keyword,label,tweet
alzheimer,1,New Alzheimer Society resources to support a move to Long Term Care- https://t.co/70iD0JchpW  @AlzCanada #OT365
alzheimer,1,What to Know About Thyroid and Alzheimer's https://t.co/q2vjLAGbzc
alzheimer,1,"一瞬「？」でしたが、なるほどプリオンの絡みか。
Alzheimer, Parkinson Disease Likely Not Spread by Transfusion https://t.co/5Yeew8cxFA"
alzheimer,1,"Hippocampus ! If this part are damage we could get dementia or Alzheimer's 
#Farahstudy #abnormalpsychology 😂 https://t.co/7AEGS9VFhP"
alzheimer,1,How tackling hearing loss could reduce your risk of dementia | Alzheimer Society Blog - https://t.co/OAPsS9lpsV
alzheimer,1,"Finding the fun in the fog of Alzheimer’s
via @IrishTimes
https://t.co/fXykVetrnz"
alzheimer,1,Encouraging!!!  Study reveals what causes Alzheimer's and a drug that could stop it https://t.co/t6Dagrcydk via @MailOnline
alzheimer,1,"A family of 6 drowned in a van. 

2 adults (with Alzheimer's) and 4 children."
alzheimer,1,Stages of Alzheimer’s Disease and What to Expect https://t.co/d0ECr0EEGj
alzheimer,1,Taking statins for 6 months reduces risk of Alzheimer's by up to 15% #alzheimer https://t.co/sfnTwVkRlR
alzheimer,1,The Telegraph will give £1 to Alzheimer's Research UK for every share of this video https://t.co/WP5WvjaDBr
alzheimer,1,Sniff Out Alzheimer's Risk with Powerful New Smell Test #healthyliving #blog @BrainBlogger https://t.co/wnYr4uEVZ5
alzheimer,1,"Santa Forgot, narrated by Stephen Fry, Alzheimer's UK. Watch video about Santa's dementia but how research can help. https://t.co/Ca7gkIuXrC"
alzheimer,1,"It will be entirely fitting if, as seems likely, the study of Alzheimer's vastly clarifies our understanding of understanding itself. https://t.co/t7cXBSC275"
alzheimer,1,Alzheimer's Deaths Jump 55 Percent: CDC https://t.co/fetmBHfjGW
alzheimer,1,"Alzheimer's Disease and Changes in Intimacy and Sexuality https://t.co/DboA9IJ3gc #alz,#caregiver"
alzheimer,1,Does Coconut Oil or change in diet Help Alzheimer's? - Alzheimers Support https://t.co/LfV6Eo4urv
alzheimer,1,Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -   https://t.co/EOCfQafin6 https://t.co/t1PdVcM8GM
alzheimer,1,Join Zachary Haven's team for the Alzheimer's Association Walk to End Alzheimer's! https://t.co/17CVyiDYxO Donate if you can! @Zachary_Haven https://t.co/dp5EigGYyM
alzheimer,1,Scientists Use Artificial Intelligence To Spot Alzheimer's Before Onset of Symptoms https://t.co/lnucHsEQc3 https://t.co/N5jwSKQ0QR
