"","tweet","label"
"1","New Alzheimer Society resources to support a move to Long Term Care- @AlzCanada #OT365",1
"4","Hippocampus ! If this part are damage we could get dementia or Alzheimer's #Farahstudy #abnormalpsychology 😂",1
"5","How tackling hearing loss could reduce your risk of dementia | Alzheimer Society Blog -",1
"6","Finding the fun in the fog of Alzheimer’s via @IrishTimes",1
"8","A family of 6 drowned in a van. 2 adults (with Alzheimer's) and 4 children.",1
"9","Stages of Alzheimer’s Disease and What to Expect",1
"12","Sniff Out Alzheimer's Risk with Powerful New Smell Test #healthyliving #blog @BrainBlogger",1
"13","Santa Forgot, narrated by Stephen Fry, Alzheimer's UK. Watch video about Santa's dementia but how research can help.",1
"14","It will be entirely fitting if, as seems likely, the study of Alzheimer's vastly clarifies our understanding of understanding itself.",1
"17","Does Coconut Oil or change in diet Help Alzheimer's? - Alzheimers Support",1
"18","Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -",1
"21","@teddavid @Mediaite He had Alzheimer's, which is formally recognized as a mental illness.",2
"22","Incredible tips! It is very important for many families! Congratulations,@Shapiro50plus ! #alzheimer",1
"23","Learn more about how medical marijuana eases suffering for #Alzheimer's:",1
"24","Please can 2017 bring good medicine for Alzheimer's.....I do not want to lose someone that is a dad to me...",2
"25","Choosing Appropriate, Clean Clothing for the Person with Alzheimer's or Dementia - Alzheimers Support",1
"26","Exercising can protect the brain from Alzheimer's disease ->",1
"27","Awakening From Alzheimer's: How 9 Maverick Do... by Peggy Sarlin via @amazon",1
"29","That moment when you think granny went for a walk and got lost because of Alzheimer's but she been in jail the whole time",2
"30","i think my mother has alzheimer's",2
"31","#healthnews Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing...",1
"32","'Waves' of neural activity give new clues about Alzheimer's",1
"33","This new research sounds promising. What could this mean for #Alzheimer patients?",1
"34","Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time""",1
"35","Alzheimer's is a terrible, terrible way to live and a horrid way to die. It is the longest goodbye you will ever have in your life.",1
"36","I am becoming more forgetful - could I have Alzheimer's disease? via @nuzzel thanks @epaultaylor",3
"37","it is so sad working somewhere where you can see someone with Alzheimer's disease get worse and worse everyday",1
"38","nothing like watching your dad attempt a connection with the shell of your grandmother left by alzheimer's",2
"40","Check out this free learning opportunity being presented by the Alzheimer Society of Saskatchewan",1
"42","Why Scientists Are Still Flummoxed by Alzheimer’s",1
"43","@realDonaldTrump Dad had Alzheimer's when he was 60. It does run in families. Yep, Trump is 70. I do not want a president with #Dementia.",2
"44","In early stages of the disease, people with Alzheimer’s may have these symptoms.",1
"45","Dealing with your Parents Behaviour because of Alzheimer's -its difficult",1
"46","Piano teacher and students brighten Christmas at Peoria Alzheimer's center",1
"48","tf RT @fubarista: Cops taser 91yo Alzheimer's patient for not going to the doctor (Video)",2
"49","I would agree and add...I also think he is an old man in the early stages of Alzheimer's .",2
"50","@TheADDF hey!! Any news on research/drugs for dementia and Alzheimer's you can share? #askalzgla",1
"51","Mourning the Loss of a Friend to Alzheimer’s via @NextAvenue",2
"52","Scientists Have Uncovered The Atomic Structure of a Key Alzheimer's Protein For The First Time via @ScienceAlert",1
"54","Alzheimer's Research UK's 'Santa Forgot' Campaign Uses Beacons to Drive Awareness #iBeacon #ble #iot",1
"55","Although Alzheimer's has taken over my Nannies body, I hope to find the love she had with my grandad. Today is their anniversary of 61 yrs.💛",2
"56","Alzheimer’s Disease: Greatest Threat to Healthy Aging. #alzheimers #healthyaging #endALZ #babyboomers...",1
"57","Been listening to mom say ""all-timers"" instead of Alzheimer's for way too many years, you guys. Someone please correct her, I will pay u",1
"58","New study confirms Alzheimer's and aluminum link can no longer be ignored",1
"61","California's communities of color are @>risk of Alzheimer's #endalz",1
"62","Tonight at the DC Center. Know the 10 Signs of Alzheimer's - Please join us!...",1
"63","Is This The Beginning of Alzheimer's Disease or... What City is this anyway?",1
"64","Their genes put them at high risk of Alzheimer’s. So they’re experimenting — on themselves via @statnews",1
"65","The Drink That Cuts Alzheimer’s Risk Up To 86% via @PsyBlog",1
"67","My heart goes out to people with dementia/alzheimer's and their families that struggle along with them",1
"68","Exercise is key to staving off Alzheimer's: When Moll Anderson…",1
"69","Fund for Alzheimer’s Research Established at UT",1
"70","First Human Trial for New Alzheimer’s Vaccine Finds the “Achilles’ Heel” of Alzheimer’s",1
"71","Aging Vision and Alzheimer's",1
"72","@abbydphillip @Fahrenthold @washingtonpost @realDonaldTrump seriously he has Alzheimer's or dementia",2
"73","Using herpes drugs to slow down Alzheimer's @AlzNorCalNorNev @alzIllinois @AlzDemWeekly @alzheimerssoc",1
"74","Will We Soon Treat Alzheimer's With THC... And Light? via @@herbworthy",1
"77","Painting a picture of Alzheimer's disease",1
"78","Help defeat dementia with Alzheimer's Research UK via @telegraph",1
"79","Popular Heartburn Drugs do not Raise Risk of Alzheimer's: Study #health",1
"80","Actually breaks my heart that Rita off coronation street is getting Alzheimer's💔 and it is not even real😢",2
"87","@gekkeijyu @BraddJaffy Loss of recent memory? I am worried about early signs of Alzheimer!",2
"88","Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time""",1
"89","Individuals with Alzheimer's can become isolated, but we should continue to acknowledge their humanity. #Dementia",1
"91","2017 Georgia Alzheimer's Awareness Day at the Capitol: Friday, February 3, 2017",1
"92","Can the person with late-stage Alzheimer's Dementia Feel Pain? - Alzheimers Support",1
"93","Flickering Light Treatment Holds Promise for Alzheimer's | Sci-Tech ... #alzheimer",1
"95","A cool thing about my dad’s Alzheimer’s was having to re-explain the news to him—excuse me.g. “Wait, why are we at war in Iraq?” in 2007",2
